title,year,genre,language,cast,imdb,rt,google,poster,added_by
AR,2003,"Adventure, Family, Fantasy",hindi,aryan,9.9,,,,admin
Mission: Impossible - Ghost Protocol,2011,"Action, Adventure, Thriller","English, Russian, French, Arabic, Swedish","Tom Cruise,  Jeremy Renner,  Simon Pegg",7.4,,,posters/a5077ef9-249e-42de-af19-dc397446c676.jpg,admin
Dilwale,2015,"Action, Comedy, Drama",Hindi,"Shah Rukh Khan,  Kajol,  Varun Dhawan",5.1,,,posters/9582ec7d-28ec-4510-a11b-08766efc8070.jpg,admin
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy","English, French, Latin","Daniel Radcliffe,  Emma Watson,  Rupert Grint",7.7,,,posters/58aa6723-8866-4e87-8d4a-5271d3b706e7.jpg,admin
Barfi!,2012,"Comedy, Drama, Romance",Hindi,"Ranbir Kapoor,  Priyanka Chopra Jonas,  Ileana D'Cruz",8.1,,,posters/f10f9c75-a373-44fa-9887-608d4a9b8063.jpg,user1
Kung Fu Panda,2008,"Animation, Action, Adventure","English, Japanese, Chinese","Jack Black,  Ian McShane,  Angelina Jolie",7.6,,,posters/870ec221-04f9-4a51-87f4-9b8d86369773.jpg,admin
Red One,2024,"Action, Adventure, Comedy",English,"Dwayne Johnson,  Chris Evans,  Lucy Liu",6.3,,,posters/45ac8f13-2d54-45cb-9373-e574b3c76e80.jpg,admin
Mission: Impossible - The Final Reckoning,2025,"Action, Adventure, Thriller","English, French, Russian","Tom Cruise,  Hayley Atwell,  Ving Rhames",7.4,,,posters/6c577693-c0cb-406e-80ff-38ab5cac1cfb.jpg,admin
Top Gun,1986,"Action, Drama",English,"Tom Cruise,  Tim Robbins,  Kelly McGillis",7,,,posters/3a3fc64c-cfea-4106-8b1b-83892fe56f49.jpg,admin
Gulabjaam,2018,"Comedy, Drama",Marathi,"Priya Bapat,  Siddharth Chandekar,  Madhura Deshpande",8,,,posters/6f9d8e64-61fd-486c-aca2-f68707234fad.jpg,user1
Fantastic Beasts and Where to Find Them,2016,"Adventure, Family, Fantasy","English, Central Khmer","Eddie Redmayne,  Katherine Waterston,  Alison Sudol",7.2,N/A,N/A,posters/0e1b832b-31fa-4bd3-a67a-0f6f17ab7b0e.jpg,siddhu
